        NN     FT     ST      E       DCG
No.97: 0.000	 0.200	 0.200	 0.054	 0.424
No.98: 0.000	 0.000	 0.200	 0.162	 0.346
No.99: 1.000	 0.200	 0.200	 0.054	 0.446
No.100: 1.000	 0.200	 0.200	 0.162	 0.497
No.101: 0.000	 0.200	 0.200	 0.216	 0.507
No.102: 0.000	 0.000	 0.000	 0.000	 0.230
No.103: 0.000	 0.200	 0.200	 0.108	 0.318
No.104: 1.000	 0.400	 0.800	 0.270	 0.684
No.105: 0.000	 0.000	 0.000	 0.054	 0.225
No.106: 1.000	 0.800	 0.800	 0.270	 0.886
No.107: 0.000	 0.000	 0.000	 0.054	 0.225
No.108: 0.000	 0.000	 0.000	 0.000	 0.213
No.109: 0.000	 0.000	 0.000	 0.108	 0.250
No.110: 1.000	 0.600	 0.800	 0.270	 0.837
No.111: 0.000	 0.000	 0.000	 0.000	 0.144
No.112: 0.000	 0.000	 0.000	 0.054	 0.220
No.113: 0.000	 0.000	 0.000	 0.000	 0.169
No.114: 0.000	 0.000	 0.200	 0.108	 0.295
No.115: 1.000	 0.800	 0.800	 0.270	 0.941
No.116: 0.000	 0.200	 0.200	 0.108	 0.332
No.117: 0.000	 0.000	 0.000	 0.054	 0.231
No.118: 0.000	 0.000	 0.200	 0.108	 0.302
No.119: 0.000	 0.000	 0.000	 0.108	 0.233
No.120: 0.000	 0.000	 0.000	 0.054	 0.240
No.121: 0.000	 0.000	 0.000	 0.054	 0.214
No.122: 0.000	 0.000	 0.000	 0.000	 0.153
No.123: 0.000	 0.000	 0.000	 0.000	 0.213
No.124: 0.000	 0.000	 0.000	 0.000	 0.218
No.125: 1.000	 0.200	 0.200	 0.216	 0.525
No.126: 0.000	 0.000	 0.000	 0.054	 0.259
No.127: 0.000	 0.600	 0.800	 0.270	 0.762
No.128: 1.000	 0.600	 0.800	 0.270	 0.883
No.129: 0.000	 0.000	 0.000	 0.054	 0.238
No.130: 1.000	 0.600	 0.600	 0.216	 0.849
No.131: 0.000	 0.400	 0.600	 0.270	 0.689
No.132: 0.000	 0.000	 0.000	 0.108	 0.253
No.133: 0.000	 0.000	 0.000	 0.000	 0.202
No.134: 0.000	 0.000	 0.000	 0.054	 0.246
No.135: 0.000	 0.400	 0.400	 0.216	 0.595
No.136: 0.000	 0.000	 0.200	 0.108	 0.276
No.137: 0.000	 0.000	 0.200	 0.054	 0.296
No.138: 0.000	 0.000	 0.000	 0.000	 0.151
No.139: 0.000	 0.200	 0.200	 0.216	 0.408
No.140: 1.000	 0.400	 0.400	 0.270	 0.747
No.141: 0.000	 0.000	 0.400	 0.216	 0.368
No.142: 0.000	 0.200	 0.200	 0.216	 0.368
No.143: 0.000	 0.200	 0.400	 0.216	 0.415
No.144: 0.000	 0.000	 0.000	 0.000	 0.139
No.145: 0.000	 0.000	 0.000	 0.054	 0.263
No.146: 0.000	 0.000	 0.000	 0.108	 0.281
No.147: 0.000	 0.600	 0.600	 0.270	 0.552
No.148: 0.000	 0.000	 0.000	 0.108	 0.260
No.149: 0.000	 0.200	 0.400	 0.270	 0.496
No.150: 0.000	 0.000	 0.200	 0.108	 0.329
No.151: 0.000	 0.000	 0.000	 0.000	 0.150
No.152: 0.000	 0.000	 0.000	 0.054	 0.252
No.153: 0.000	 0.000	 0.000	 0.000	 0.196
No.154: 0.000	 0.200	 0.400	 0.216	 0.408
No.155: 0.000	 0.000	 0.000	 0.162	 0.294
No.156: 0.000	 0.200	 0.200	 0.054	 0.304
No.157: 0.000	 0.000	 0.000	 0.000	 0.182
No.158: 0.000	 0.400	 0.400	 0.216	 0.612
No.159: 0.000	 0.000	 0.000	 0.000	 0.245
No.160: 0.000	 0.000	 0.000	 0.108	 0.269
No.161: 0.000	 0.000	 0.000	 0.000	 0.131
No.162: 0.000	 0.000	 0.000	 0.000	 0.146
No.163: 0.000	 0.000	 0.000	 0.000	 0.201
No.164: 0.000	 0.000	 0.000	 0.000	 0.180
No.165: 0.000	 0.000	 0.000	 0.000	 0.146
No.166: 0.000	 0.000	 0.000	 0.000	 0.138
No.167: 0.000	 0.000	 0.000	 0.000	 0.146
No.168: 0.000	 0.000	 0.000	 0.000	 0.146
No.169: 0.000	 0.000	 0.000	 0.000	 0.160
No.170: 0.000	 0.000	 0.000	 0.056	 0.213
No.171: 0.000	 0.000	 0.000	 0.000	 0.143
No.172: 0.000	 0.000	 0.000	 0.000	 0.136
No.173: 0.000	 0.000	 0.000	 0.000	 0.148
No.174: 0.000	 0.000	 0.000	 0.000	 0.151
No.175: 0.000	 0.000	 0.000	 0.056	 0.188
No.176: 0.000	 0.000	 0.000	 0.000	 0.173
No.177: 0.000	 0.000	 0.000	 0.000	 0.148
No.178: 0.000	 0.000	 0.000	 0.000	 0.142
No.179: 0.000	 0.000	 0.000	 0.000	 0.161
No.180: 0.000	 0.000	 0.000	 0.000	 0.148
No.181: 0.000	 0.000	 0.000	 0.000	 0.161
No.182: 0.000	 0.000	 0.000	 0.000	 0.146
No.183: 0.000	 0.000	 0.000	 0.000	 0.166
No.184: 0.000	 0.000	 0.000	 0.000	 0.159
No.185: 0.000	 0.000	 0.000	 0.056	 0.205
No.186: 0.000	 0.000	 0.000	 0.000	 0.179
No.187: 0.000	 0.000	 0.000	 0.000	 0.145
No.188: 0.000	 0.000	 0.000	 0.000	 0.136
No.189: 0.000	 0.000	 0.000	 0.000	 0.132
No.190: 0.000	 0.000	 0.000	 0.000	 0.145
No.191: 0.000	 0.000	 0.000	 0.000	 0.146
No.192: 0.000	 0.000	 0.000	 0.000	 0.151
No.193: 0.000	 0.000	 0.000	 0.000	 0.140
No.194: 0.000	 0.000	 0.000	 0.000	 0.154
No.195: 0.000	 0.000	 0.000	 0.000	 0.131
No.196: 0.000	 0.000	 0.000	 0.000	 0.169
No.197: 0.000	 0.000	 0.000	 0.000	 0.147
